team,bestScore,worstScore,totalScore,bestPoints,worstPoints,totalPoints,wins,losses,ties,streak,beststreak
Hansa Rostock,66,30,875,65,27,867,227,287,186,3,4
Wolfsburg,80,33,1480,69,33,1419,381,339,276,4,10
Wuppertaler SV,55,44,99,61,41,102,26,34,24,1,3
KFC Uerdingen 05,49,33,345,65,26,340,83,136,91,1,5
Tennis Borussia,47,42,131,54,33,127,32,43,31,2,4
VfL Bochum,69,30,1528,69,27,1455,389,413,288,2,8
FSV Frankfurt,55,29,362,54,15,330,84,144,78,2,3
Nürnberg,68,26,1369,65,19,1353,357,413,282,1,7
Zwickau,39,32,137,49,28,154,39,60,37,3,5
Arminia Bielefeld,68,22,1026,68,20,983,254,301,221,1,8
VfB Lübeck,51,32,170,44,36,163,43,59,34,2,3
Eintracht Frankfurt,76,31,1591,68,32,1512,406,386,294,5,6
Gutersloh,43,39,125,55,37,137,35,35,32,1,3
Kaiserslautern,74,24,1439,68,23,1451,392,323,275,2,7
Energie Cottbus,65,30,721,58,25,716,190,242,146,1,4
Greuther Fürth,73,26,1158,70,21,1187,317,256,236,1,7
Karlsruher SC,69,27,1246,70,25,1240,320,349,280,2,5
Köln,84,26,1536,68,22,1443,386,415,285,2,6
Rot-Weiß Oberhausen,55,30,416,53,28,412,108,144,88,3,5
Ulm,63,36,141,58,34,127,33,41,28,3,3
B. Mönchengladbach,71,23,1587,66,21,1488,397,392,297,2,6
Kickers Offenbach FC,42,35,157,43,35,152,38,60,38,2,6
Reutlingen,64,43,160,53,39,136,39,44,19,3,4
Rot Weiss Ahlen,61,19,341,54,22,323,87,123,62,2,5
SV Babelsberg 03,39,39,39,18,18,18,4,24,6,2,2
Union Berlin,61,36,718,60,33,702,184,170,150,3,6
SV Eintracht Trier,53,39,138,48,39,132,35,40,27,2,3
SV Wacker Burghausen,48,40,223,48,32,216,54,62,54,2,4
Erzgebirge Aue,49,31,611,56,32,632,167,206,131,2,6
Jahn Regensburg,55,28,259,49,19,229,57,81,58,2,3
Dynamo Dresden,53,32,508,50,20,513,128,189,129,2,4
Paderborn,76,28,561,62,20,548,143,174,119,1,5
Siegen Sportfreunde ,35,35,35,31,31,31,8,19,7,2,2
FC Augsburg,60,29,647,65,32,646,170,198,136,2,5
TuS Koblenz,47,35,164,47,31,160,41,58,37,2,4
Hoffenheim,72,39,754,62,31,648,171,164,135,2,7
SV Wehen Burghausen,47,28,75,44,27,71,16,29,23,1,4
Ingolstadt 04,53,33,403,64,31,407,101,135,104,3,4
Sandhausen,45,29,332,44,25,346,87,127,85,1,3
VfR Aalen,40,34,110,46,33,123,30,39,33,2,3
Heidenheim,55,41,325,55,42,334,89,76,67,5,5
RB Leipzig,81,39,412,67,50,429,123,49,60,6,8
Stuttgart,78,32,1669,73,28,1594,439,370,277,2,8
Würzburger Kickers,32,30,62,34,20,54,12,32,18,1,3
Holstein Kiel,71,39,223,56,43,194,51,36,41,5,5
Hamburger SV,63,25,1479,68,27,1489,396,389,301,2,5
Magdeburg,35,35,35,31,31,31,6,15,13,2,2
Wehen Wiesbaden,45,45,45,34,34,34,9,18,7,2,2
B. Dortmund,84,41,1952,81,40,1894,536,264,286,4,8
B. Leverkusen,77,37,1893,73,38,1789,500,297,289,5,7
Bayern München,100,55,2380,91,49,2290,687,170,229,5,19
Werder Bremen,79,32,1752,74,30,1600,438,362,286,2,6
AFC Bournemouth,66,40,364,71,34,330,88,123,66,2,5
Barnsley,88,37,813,82,35,858,232,237,162,1,9
Blackburn Rovers,80,32,1305,91,31,1370,369,335,263,2,7
Bradford City,82,30,445,87,26,438,114,188,96,1,4
Brighton & Hove Albion,63,33,405,70,33,417,106,170,99,2,5
Hull City,58,33,296,58,30,274,65,138,79,2,4
Ipswich Town,85,35,1029,87,27,1061,290,227,191,4,6
Leeds United,79,28,957,85,33,1028,282,207,182,3,7
Leicester,73,30,1265,92,28,1280,342,339,254,3,8
Middlesbrough,77,27,1082,91,28,1160,305,341,245,1,6
Newcastle,92,32,1606,96,32,1635,443,424,306,1,11
Oldham Athletic AFC,83,42,486,88,40,459,120,137,99,2,5
Oxford United,69,53,245,61,50,221,56,75,53,2,3
Plymouth Argyle,58,42,206,55,48,209,53,81,50,3,4
Port Vale,62,42,484,67,36,480,120,174,120,1,4
Portsmouth,97,34,1149,98,28,1156,305,364,241,1,7
Sheffield United,78,17,1067,85,14,1132,301,293,229,1,5
Stoke City,60,34,879,73,33,1039,266,328,241,1,4
Sunderland,91,21,1300,105,15,1399,369,445,292,2,8
Swindon Town,79,38,579,76,30,539,138,193,125,2,4
Watford,76,29,1089,82,24,1118,294,375,236,3,6
West Bromwich Albion,69,28,1208,89,24,1231,313,434,292,2,5
West Ham,81,35,1555,88,33,1624,435,469,319,4,5
Wolves,81,31,1253,86,25,1310,343,325,281,2,6
Bristol City,68,40,358,67,42,378,98,135,84,4,4
Bristol Rovers,60,55,171,62,41,161,41,59,38,4,4
Charlton Athletic,80,31,920,91,30,1012,270,284,202,2,8
Millwall,70,39,674,77,26,754,199,183,157,1,5
Notts County,76,40,281,80,40,280,74,94,58,2,7
Sheffield Wednesday,80,34,777,82,31,782,203,245,173,2,7
Cambridge United,65,48,113,74,49,123,30,29,33,2,3
Derby County,73,20,907,79,11,927,248,320,183,1,5
Grimsby Town,62,40,556,65,39,596,153,216,137,2,4
Southend United,63,42,328,62,39,333,88,119,69,1,4
Tranmere Rovers,72,46,611,79,38,619,161,163,136,2,4
Birmingham City,70,28,839,81,34,958,250,263,208,2,5
Brentford,71,52,123,73,49,122,33,30,23,6,6
Luton Town,61,35,363,58,37,382,95,150,97,3,3
Peterborough United,55,48,103,62,37,99,24,41,27,2,3
Bolton Wanderers,100,36,1028,98,29,1048,278,278,214,4,7
Crystal Palace,78,31,1225,90,33,1279,339,388,262,2,6
Nottingham Forest,82,31,942,94,30,988,258,253,214,3,5
Oxford City,64,48,226,58,44,208,55,86,43,3,4
Burnley,70,25,590,75,30,645,170,230,135,1,5
