team,bestScore,worstScore,totalScore,bestPoints,worstPoints,totalPoints,wins,losses,ties,streak,beststreak
Dijon FCO,62,20,745,70,15,825,210,225,195,6,6
Evian Thonon Gaillard,63,39,284,67,37,277,72,95,61,3,3
Stade de Reims,74,26,718,88,35,819,205,221,204,7,7
Gazélec Ajaccio,49,30,232,65,28,261,65,97,66,2,4
Amiens SC,59,26,796,69,23,932,229,284,245,2,6
Beauvais Oise,50,20,316,61,37,382,88,114,118,3,4
Bourges 18,46,46,46,42,42,42,10,20,12,2,2
Charleville,45,34,157,56,48,205,46,55,67,1,3
Dunkerque,44,26,142,60,34,192,45,55,57,1,5
FC Mulhouse,51,44,244,54,41,248,61,84,65,3,4
FC Rouen 1899,45,27,72,52,29,81,20,39,21,1,2
Niort,58,30,945,65,26,1088,258,306,314,2,5
Olympique Alès,47,29,120,54,25,132,29,52,45,1,2
Red Star,61,28,432,70,30,480,124,130,108,1,5
Stade Briochin,53,32,123,65,38,146,38,56,32,2,3
Stade Lavallois,56,33,919,69,30,1024,252,298,268,1,4
Valence,51,34,387,58,33,426,100,136,126,2,3
Perpignan,44,35,117,61,44,156,37,44,45,3,4
CS Louhans Cuiseaux,57,32,169,58,24,182,47,76,41,1,2
Stade Poitevin,36,36,36,46,46,46,9,14,19,2,2
Épinal,42,26,68,48,26,74,16,42,26,1,2
ES Wasquehal,49,26,223,51,36,264,62,92,78,3,4
Creteil,57,33,452,54,34,484,111,156,151,2,4
Clermont,56,31,777,63,38,893,224,222,221,4,4
Besancon RC,37,37,37,38,38,38,8,16,14,2,2
Sète,31,31,31,23,23,23,4,23,11,1,1
FC Libourne Saint Seurin,43,41,84,44,32,76,19,38,19,2,2
Tours,63,29,499,61,23,502,127,170,121,1,4
Vannes,40,34,113,51,44,141,37,47,30,4,4
CA Bastia,21,21,21,24,24,24,4,22,12,1,1
Orléans,52,21,201,52,19,199,51,83,46,1,6
Bourg-Péronnas,50,47,146,47,36,127,34,55,25,2,4
Paris FC,46,22,180,65,28,239,59,53,62,5,5
Quevilly,45,45,45,33,33,33,9,23,6,2,2
Béziers,33,33,33,38,38,38,9,18,11,1,1
Chambly,33,26,59,35,28,63,15,27,18,1,2
Rodez,32,31,63,38,32,70,16,22,22,2,2
Pau FC,32,32,32,35,35,35,9,15,8,2,2
Arsenal,87,40,2153,90,45,2275,653,256,316,3,13
Aston Villa,71,27,1352,74,17,1473,385,407,318,4,6
Chelsea,103,46,2055,95,49,2213,635,282,308,4,13
Everton,64,34,1601,72,39,1687,447,431,346,4,8
Liverpool,101,47,2114,99,52,2219,638,282,305,3,18
Man. Utd,97,46,2283,92,48,2483,734,210,281,4,11
Southampton,71,34,1193,63,32,1168,304,398,256,3,6
Tottenham Hotspur,86,44,1827,86,44,1864,520,400,304,4,10
Blackpool,55,55,55,39,39,39,10,19,9,4,4
Beira Mar SC,84,0,668,49,0,642,141,354,219,0,6
Belenenses,126,0,1198,126,23,1367,353,369,308,42,42
Benfica,103,45,2118,101,52,2286,690,146,216,6,16
Boavista,63,24,1140,90,25,1370,373,278,251,30,30
Chaves,102,0,693,102,0,642,145,216,207,0,34
Estrela Amadora,42,0,488,50,17,592,132,208,196,0,4
Feirense,68,0,382,90,0,464,120,152,104,0,30
Marítimo,56,22,1217,56,24,1397,372,399,281,2,5
Nacional,102,22,936,102,21,962,255,254,197,24,34
Penafiel,84,0,475,126,0,802,236,204,94,28,42
Portimonense,126,0,557,126,0,556,155,200,91,0,42
Porto,85,39,2175,98,60,2483,767,103,182,7,16
Sporting Braga,74,32,1436,75,36,1618,452,338,262,6,13
Sporting CP,79,35,1803,86,42,2119,625,183,244,6,11
Tirsense,39,21,152,48,31,197,48,73,53,2,3
União Madeira,90,0,385,126,29,490,120,98,130,42,42
Vitória Guimarães,60,28,1336,90,34,1557,435,365,252,30,30
Vitória Setúbal,102,21,1055,102,22,1137,300,387,237,34,34
Famalicão,76,26,271,114,27,345,95,83,60,38,38
Farense,72,24,637,138,22,830,238,188,116,24,46
Gil Vicente,90,23,1130,126,19,1379,388,307,215,42,42
SC Salgueiros,49,27,459,52,30,489,125,173,114,2,6
Estoril,136,0,749,102,0,836,230,176,146,28,34
Paços de Ferreira,68,27,880,102,24,989,251,289,236,34,34
Torreense,36,34,70,102,35,137,42,15,11,34,34
Espinho,102,27,337,102,0,240,52,68,84,0,34
União de Leiria,52,25,569,56,16,656,170,208,146,1,6
Campomaiorense,53,29,186,40,32,178,48,88,34,1,3
FC Felgueiras,68,0,131,102,0,135,42,153,9,0,34
Leça FC,68,0,159,38,0,176,28,84,92,0,3
Rio Ave,50,0,698,55,28,898,203,254,289,0,4
Académica,102,25,742,102,21,793,210,231,163,24,34
Varzim,114,0,539,114,0,553,158,197,79,28,38
Alverca,45,33,226,43,27,215,48,85,71,0,3
CD Santa Clara,102,0,574,126,0,805,192,161,229,42,42
Desportivo Aves,92,0,668,138,0,917,295,287,32,42,46
Moreirense,84,0,549,126,0,722,205,220,107,42,42
Naval,102,0,336,39,0,224,48,196,80,0,3
Leixões,126,0,468,126,21,640,169,40,133,0,42
Trofense,90,0,175,90,23,215,35,17,110,0,30
Olhanense,92,21,476,138,0,527,142,105,101,0,46
Arouca,47,26,134,54,28,145,37,61,34,2,3
Tondela,84,25,329,138,28,379,98,101,85,46,46
Athletic,72,37,1564,70,37,1683,450,433,333,1,5
Atlético,80,40,1904,90,38,2079,592,329,303,5,9
Barcelona,116,60,2778,100,56,2575,778,197,241,7,16
CD Castellón,55,27,430,65,33,520,131,176,127,2,5
CD Logroñés,69,15,445,69,15,501,128,189,117,2,4
CD Málaga,52,23,100,62,37,139,35,45,34,2,3
Celta,83,24,1546,85,27,1666,434,442,364,7,7
Cádiz,68,27,672,76,22,791,196,237,203,5,7
Mallorca,69,30,1493,71,33,1650,444,432,318,5,7
Osasuna,59,25,1317,87,22,1577,410,479,347,4,5
R. Sociedad,71,32,1620,76,35,1721,457,421,350,3,6
Rayo Vallecano,73,31,1398,79,25,1437,381,428,294,3,6
Real Madrid,121,53,2646,100,62,2521,762,219,235,4,13
Real Oviedo,54,35,880,65,40,1006,252,290,250,3,5
Real Sporting,63,31,1484,82,13,1690,446,486,352,4,8
Real Valladolid,70,25,1444,88,27,1623,418,465,369,3,7
Real Zaragoza,79,29,1597,81,34,1693,445,453,358,2,6
Sevilla,75,38,1766,80,28,1892,534,404,290,4,7
Tenerife,79,30,1462,81,34,1579,404,440,367,3,6
Valencia,77,37,1851,83,34,1976,556,352,308,1,8
Espanyol,63,27,1464,74,25,1599,422,465,333,5,6
Real Betis,85,33,1614,84,25,1761,472,415,345,5,6
Real Burgos CF,53,29,192,68,26,226,54,72,64,1,3
Albacete,60,21,1204,71,28,1381,352,417,325,3,4
Deportivo,76,31,1591,91,29,1807,490,375,337,7,9
Lleida,66,29,617,80,28,703,187,189,142,2,6
Racing,58,28,1099,75,27,1175,300,399,275,1,7
Compostela,60,35,531,70,44,582,149,158,135,3,3
Mérida CP,58,33,419,79,39,512,135,112,107,4,9
UD Salamanca,72,29,876,71,27,932,239,278,215,3,4
CF Extremadura,60,27,333,79,39,428,110,116,98,1,5
Hércules,82,36,751,78,35,837,222,221,171,3,6
Alavés,62,24,975,82,24,1158,313,332,219,5,7
Villarreal,69,29,1462,77,36,1633,443,359,304,5,8
Málaga,72,24,1076,79,20,1172,310,338,242,2,7
Numancia,68,30,1127,77,29,1251,320,339,291,3,6
Las Palmas,73,24,1298,78,22,1379,351,371,326,3,6
Recreativo,67,34,803,78,33,972,247,258,231,2,6
Real Murcia,62,29,767,79,26,887,227,257,206,2,5
Getafe,58,22,974,76,30,1098,282,352,252,3,4
Levante,63,27,1192,84,26,1316,337,378,305,5,7
Gimnàstic Tarragona,60,30,579,76,28,664,170,218,154,1,4
Almería,73,35,1011,80,30,1100,287,316,239,5,5
Xerez,73,24,684,82,30,793,202,229,187,3,7
Granada,71,29,475,79,20,522,140,180,102,4,4
Elche,67,27,1122,82,26,1272,325,358,297,2,5
Córdoba,59,22,824,71,20,932,239,298,215,1,5
Eibar,56,19,1021,73,23,1324,321,384,361,3,5
Leganés,59,30,744,74,35,892,221,266,229,4,4
Girona,74,34,673,82,37,747,198,179,153,2,5
Huesca,61,31,508,75,27,579,147,161,138,2,5
Atlético B,73,33,270,74,37,268,70,74,58,5,5
Bilbao Ath.,50,33,326,60,32,354,85,124,99,2,4
Palamós,52,29,226,53,38,273,66,87,75,1,3
RM Castilla,80,36,565,65,41,578,157,170,107,4,4
Sabadell,54,30,359,59,32,414,105,150,99,2,4
Sestao Sport Club,36,26,153,49,31,212,50,78,62,2,6
UE Figueres,44,37,165,63,43,207,53,51,48,3,3
Orihuela CF,46,46,46,55,55,55,12,7,19,2,2
Real Avilés,35,31,66,48,36,84,19,30,27,1,3
Barcelona B,85,40,772,71,34,670,177,206,139,3,4
Atlético Marbella,45,28,155,59,21,172,44,68,40,1,3
CD Badajoz,48,32,432,63,38,569,140,153,149,2,7
Lugo,49,23,405,56,32,490,119,156,133,3,4
CD Toledo,54,34,305,65,40,381,101,99,78,2,4
CD Ourense,37,26,133,49,24,144,34,84,42,2,3
Écija Balompié,34,27,61,45,30,75,19,39,18,2,3
Real Jaén,43,30,149,59,42,194,47,68,53,2,3
Mallorca B,52,52,52,46,46,46,12,20,10,2,2
Racing Ferrol,58,40,289,56,37,288,70,104,78,3,4
Universidad LPGC,34,34,34,39,39,39,8,19,15,2,2
Burgos,31,31,31,52,52,52,12,14,16,3,3
Poli Ejido,52,29,279,58,44,358,90,116,88,2,4
Terrassa FC,45,41,131,52,44,146,35,50,41,2,3
Algeciras,39,39,39,33,33,33,6,21,15,2,2
At. Malagueño,46,33,121,49,36,133,31,55,40,2,3
Ciudad de Murcia,53,49,205,72,47,231,59,55,54,3,5
Pontevedra,52,52,52,44,44,44,10,18,14,3,3
Lorca Deportiva,56,37,93,69,37,106,28,34,22,2,5
Ponferradina,57,36,360,66,34,404,101,126,101,3,6
Vecindario,42,42,42,34,34,34,9,26,7,3,3
Granada 74,45,45,45,45,45,45,10,17,15,4,4
Sevilla At.,55,29,156,56,19,160,36,80,52,2,4
Alicante,38,38,38,35,35,35,8,23,11,1,1
FC Cartagena,58,34,177,65,35,196,51,66,43,2,3
Real Unión de Irún,40,40,40,46,46,46,12,20,10,2,2
Villarreal B,60,43,157,61,51,164,45,52,29,3,4
Alcorcón,58,24,491,73,35,623,166,163,125,3,6
Alcoyano,46,46,46,37,37,37,9,23,10,2,2
CD Guadalajara,50,46,96,50,49,99,26,37,21,2,2
